original_prompt_id,original_prompt,paraphrased_prompt,paraphrase_method,similarity_score
RAW-001,"Explain the concept of quantum entanglement in simple terms that a high school student could understand.","Can you break down quantum entanglement using language a teenager would find easy to follow?",back_translation,0.92
RAW-001,"Explain the concept of quantum entanglement in simple terms that a high school student could understand.","What is quantum entanglement? Please describe it in a way that would make sense to someone in high school.",synonym_replacement,0.88
RAW-001,"Explain the concept of quantum entanglement in simple terms that a high school student could understand.","I'd like to understand quantum entanglement. Could you explain it simply enough for a high schooler to grasp?",reordering,0.90
RAW-002,"Write a Python function that implements the A* pathfinding algorithm with support for diagonal movement and custom heuristic functions.","Create a Python implementation of the A* search algorithm that handles diagonal moves and allows pluggable heuristic functions.",back_translation,0.91
RAW-002,"Write a Python function that implements the A* pathfinding algorithm with support for diagonal movement and custom heuristic functions.","Please code a Python function for A* pathfinding that supports moving diagonally and accepts custom heuristic functions.",synonym_replacement,0.87
RAW-003,"Analyze the economic impact of artificial intelligence on the global labor market over the next decade, considering both job displacement and job creation.","How will AI affect worldwide employment in the coming ten years? Please consider both the jobs that will be lost and those that will be created.",back_translation,0.85
RAW-003,"Analyze the economic impact of artificial intelligence on the global labor market over the next decade, considering both job displacement and job creation.","Evaluate AI's economic effects on the international job market through 2036, weighing both the elimination of existing roles and the emergence of new ones.",synonym_replacement,0.89
RAW-004,"Compose a haiku about the changing of seasons from winter to spring.","Write a haiku capturing the transition from winter into spring.",back_translation,0.93
RAW-004,"Compose a haiku about the changing of seasons from winter to spring.","Create a 5-7-5 syllable poem about the shift from the cold of winter to the warmth of spring.",synonym_replacement,0.82
RAW-005,"Derive the mathematical formula for the gradient of a multi-variable function and explain its geometric interpretation in the context of neural network optimization.","Show the mathematical derivation of the gradient for functions with multiple variables, and discuss what it means geometrically when training neural networks.",back_translation,0.86
RAW-006,"Translate the following English proverb into French, Spanish, Japanese, and Arabic, then explain the cultural context of each translation.","Convert this English saying into French, Spanish, Japanese, and Arabic, and provide cultural context for each version.",synonym_replacement,0.88
RAW-007,"What are the main differences between TCP and UDP protocols, and when would you choose one over the other?","Compare TCP and UDP protocols — what sets them apart, and in what scenarios would you pick each one?",back_translation,0.91
RAW-007,"What are the main differences between TCP and UDP protocols, and when would you choose one over the other?","Explain the key distinctions between TCP and UDP, including guidelines for selecting the appropriate protocol for different use cases.",synonym_replacement,0.85
RAW-008,"Design a database schema for a social media platform that supports posts, comments, likes, follows, and direct messages with optimal query performance.","Create a performant database design for a social network that handles user posts, comments, reactions, follow relationships, and private messaging.",back_translation,0.87
RAW-009,"Explain the greenhouse effect and how human activities contribute to global warming.","What is the greenhouse effect, and how do human actions intensify global warming?",back_translation,0.90
RAW-009,"Explain the greenhouse effect and how human activities contribute to global warming.","Describe the greenhouse phenomenon and the ways in which people contribute to increasing global temperatures.",synonym_replacement,0.88
RAW-010,"Write a persuasive essay arguing for or against the implementation of a four-day work week.","Compose an argumentative essay either supporting or opposing the adoption of a four-day work schedule.",back_translation,0.93
RAW-010,"Write a persuasive essay arguing for or against the implementation of a four-day work week.","Draft a convincing essay that takes a clear stance on whether companies should shift to a four-day work week.",synonym_replacement,0.86
